t,v,w
0.000000, -0.000361, 0.006971
0.010000, -0.001490, 0.013879
0.020000, -0.003460, 0.020716
0.030000, -0.006353, 0.027475
0.040000, -0.010257, 0.034147
0.050000, -0.015268, 0.040720
0.060000, -0.021491, 0.047186
0.070000, -0.029042, 0.053532
0.080000, -0.038048, 0.059744
0.090000, -0.048645, 0.065810
0.100000, -0.060983, 0.071713
0.110000, -0.075226, 0.077437
0.120000, -0.091548, 0.082963
0.130000, -0.110143, 0.088271
0.140000, -0.131213, 0.093340
0.150000, -0.154978, 0.098145
0.160000, -0.181668, 0.102661
0.170000, -0.211526, 0.106860
0.180000, -0.244797, 0.110711
0.190000, -0.281731, 0.114181
0.200000, -0.322566, 0.117237
0.210000, -0.367522, 0.119842
0.220000, -0.416783, 0.121956
0.230000, -0.470474, 0.123541
0.240000, -0.528642, 0.124557
0.250000, -0.591222, 0.124962
0.260000, -0.658006, 0.124721
0.270000, -0.728616, 0.123796
0.280000, -0.802474, 0.122159
0.290000, -0.878793, 0.119786
0.300000, -0.956582, 0.116663
0.310000, -1.034675, 0.112788
0.320000, -1.111791, 0.108170
0.330000, -1.186615, 0.102831
0.340000, -1.257895, 0.096806
0.350000, -1.324534, 0.090142
0.360000, -1.385671, 0.082893
0.370000, -1.440730, 0.075124
0.380000, -1.489428, 0.066899
0.390000, -1.531759, 0.058287
0.400000, -1.567948, 0.049353
0.410000, -1.598391, 0.040158
0.420000, -1.623596, 0.030760
0.430000, -1.644128, 0.021210
0.440000, -1.660565, 0.011552
0.450000, -1.673467, 0.001826
0.460000, -1.683353, -0.007936
0.470000, -1.690692, -0.017706
0.480000, -1.695896, -0.027460
0.490000, -1.699322, -0.037178
0.500000, -1.701276, -0.046846
0.510000, -1.702015, -0.056451
0.520000, -1.701755, -0.065980
0.530000, -1.700675, -0.075427
0.540000, -1.698925, -0.084785
0.550000, -1.696628, -0.094048
0.560000, -1.693884, -0.103212
0.570000, -1.690776, -0.112273
0.580000, -1.687374, -0.121230
0.590000, -1.683732, -0.130080
0.600000, -1.679898, -0.138823
0.610000, -1.675908, -0.147457
0.620000, -1.671793, -0.155982
0.630000, -1.667579, -0.164397
0.640000, -1.663286, -0.172703
0.650000, -1.658933, -0.180900
0.660000, -1.654532, -0.188987
0.670000, -1.650096, -0.196967
0.680000, -1.645634, -0.204838
0.690000, -1.641153, -0.212602
0.700000, -1.636662, -0.220260
0.710000, -1.632165, -0.227812
0.720000, -1.627666, -0.235258
0.730000, -1.623169, -0.242601
0.740000, -1.618678, -0.249840
0.750000, -1.614196, -0.256977
0.760000, -1.609723, -0.264013
0.770000, -1.605263, -0.270948
0.780000, -1.600816, -0.277783
0.790000, -1.596385, -0.284520
0.800000, -1.591970, -0.291159
0.810000, -1.587572, -0.297701
0.820000, -1.583191, -0.304148
0.830000, -1.578830, -0.310499
0.840000, -1.574487, -0.316757
0.850000, -1.570165, -0.322921
0.860000, -1.565862, -0.328993
0.870000, -1.561580, -0.334975
0.880000, -1.557319, -0.340866
0.890000, -1.553079, -0.346668
0.900000, -1.548861, -0.352381
0.910000, -1.544664, -0.358007
0.920000, -1.540489, -0.363546
0.930000, -1.536336, -0.369000
0.940000, -1.532206, -0.374369
0.950000, -1.528098, -0.379655
0.960000, -1.524012, -0.384857
0.970000, -1.519949, -0.389978
0.980000, -1.515909, -0.395017
0.990000, -1.511892, -0.399976
1.000000, -1.507899, -0.404855
1.010000, -1.503928, -0.409656
1.020000, -1.499981, -0.414380
1.030000, -1.496057, -0.419026
1.040000, -1.492157, -0.423597
1.050000, -1.488280, -0.428092
1.060000, -1.484427, -0.432513
1.070000, -1.480598, -0.436861
1.080000, -1.476793, -0.441136
1.090000, -1.473012, -0.445339
1.100000, -1.469255, -0.449471
1.110000, -1.465523, -0.453532
1.120000, -1.461814, -0.457525
1.130000, -1.458130, -0.461449
1.140000, -1.454471, -0.465305
1.150000, -1.450836, -0.469093
1.160000, -1.447226, -0.472816
1.170000, -1.443641, -0.476473
1.180000, -1.440080, -0.480066
1.190000, -1.436545, -0.483594
