"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2012","3.55234032198702",""
"Afghanistan","2011","4.78662767565472",""
"Afghanistan","2010","3.66803325962668",""
"Afghanistan","2009","2.04265078269294",""
"Afghanistan","2008","2.21057537126712",""
"Afghanistan","2007","2.17127326265904",""
"Afghanistan","2006","1.76635442957503",""
"Afghanistan","2005","1.77275777834904",""
"Afghanistan","2004","2.15363123609057",""
"Afghanistan","2003","2.08503748890737",""
"Albania","2012","1.45505861992816",""
"Albania","2011","1.51924820573228",""
"Albania","2010","1.60235862337985",""
"Albania","2009","2.05325803649001",""
"Albania","2008","1.97150735294118",""
"Albania","2007","1.82014462809917",""
"Albania","2006","1.54374966770579",""
"Albania","2005","1.31487718388222",""
"Albania","2004","1.35350745492471",""
"Albania","2003","1.35922390513751",""
"Albania","2002","1.31579371172281",""
"Albania","2001","1.29960736181529",""
"Albania","2000","1.2278986601211",""
"Albania","1999","1.24206452644451",""
"Albania","1998","1.2288819931238",""
"Albania","1997","1.37870662927084",""
"Albania","1996","1.51709550445667",""
"Albania","1995","2.09971303737436",""
"Albania","1994","2.50038576236814",""
"Albania","1993","3.19929790315127",""
"Albania","1992","4.64945888260734",""
"Albania","1990","5.88830083175259",""
"Albania","1989","5.16567637335278",""
"Albania","1988","5.61500470366886",""
"Algeria","2012","4.56352306707531",""
"Algeria","2011","4.3457876421571",""
"Algeria","2010","3.5191406518711",""
"Algeria","2009","3.85231767018087",""
"Algeria","2008","3.02434776522206",""
"Algeria","2007","2.91888501928132",""
"Algeria","2006","2.64654950286156",""
"Algeria","2005","2.82994500755648",""
"Algeria","2004","3.28502466053376",""
"Algeria","2003","3.25570346413132",""
"Algeria","2002","3.69242473417803",""
"Algeria","2001","3.83240278099018",""
"Algeria","2000","3.44367652668923",""
"Algeria","1999","3.76752507239682",""
"Algeria","1998","3.95689793175291",""
"Algeria","1997","3.63283228608796",""
"Algeria","1996","3.09338520538001",""
"Algeria","1995","2.95388320341583",""
"Algeria","1994","3.13778074200812",""
"Algeria","1993","2.55574614738529",""
"Algeria","1992","2.19423769908935",""
"Algeria","1991","1.23149796248609",""
"Algeria","1990","1.4573587554321",""
"Algeria","1989","1.53555395926921",""
"Algeria","1988","1.74535042784505",""
"Angola","2012","3.63389979367711",""
"Angola","2011","3.49689761787244",""
"Angola","2010","4.24827499585397",""
"Angola","2009","4.39162245531516",""
"Angola","2008","3.75227736231147",""
"Angola","2007","3.3622316605321",""
"Angola","2006","4.7148447849368",""
"Angola","2005","4.83484198971815",""
"Angola","2004","4.16241977189774",""
"Angola","2003","4.72215261583567",""
"Angola","2002","3.51021632487122",""
"Angola","2001","4.52435888850332",""
"Angola","2000","6.39276679164926",""
"Angola","1999","17.3373711490303",""
"Angola","1998","2.6424263872936",""
"Angola","1997","5.99388623603924",""
"Angola","1996","2.45364114361221",""
"Angola","1995","4.70650167706635",""
"Angola","1994","5.70751983877063",""
"Angola","1993","17.5218461162774",""
"Angola","1992","7.56572725553244",""
"Angola","1991","7.05625104968622",""
"Arab World","2012","5.10823413880741",""
"Arab World","2011","4.89243972070095",""
"Arab World","2010","5.08424820668203",""
"Arab World","2009","5.37628386026155",""
"Arab World","2008","4.19425194919927",""
"Arab World","2007","4.58056335573113",""
"Arab World","2006","4.4750887405734",""
"Arab World","2005","4.74866824706492",""
"Arab World","2004","5.17568324016553",""
"Arab World","2003","5.60034593685989",""
"Arab World","2002","6.01131089326998",""
"Arab World","2001","6.61365568436476",""
"Arab World","2000","6.21571797010893",""
"Arab World","1999","6.34041515569515",""
"Arab World","1998","7.26486255234636",""
"Arab World","1997","6.36612844280727",""
"Arab World","1996","6.22513230669495",""
"Arab World","1995","6.86713698457126",""
"Arab World","1994","7.55026512689628",""
"Arab World","1993","8.14190048152044",""
"Arab World","1992","8.9407148482825",""
"Arab World","1991","11.6577143757431",""
"Arab World","1990","10.1483373063061",""
"Arab World","1989","7.91034454367998",""
"Arab World","1988","8.12841883924373",""
"Argentina","2012","0.910062956302795",""
"Argentina","2011","0.904115085586408",""
"Argentina","2010","0.938616401455993",""
"Argentina","2009","0.965814263929837",""
"Argentina","2008","0.849085439717751",""
"Argentina","2007","0.875001415791444",""
"Argentina","2006","0.862265567251328",""
"Argentina","2005","0.927738390933167",""
"Argentina","2004","0.957234942537979",""
"Argentina","2003","1.06089364594404",""
"Argentina","2002","1.09188047859748",""
"Argentina","2001","1.1842346437015",""
"Argentina","2000","1.14882368723143",""
"Argentina","1999","1.22035954754993",""
"Argentina","1998","1.13631707160019",""
"Argentina","1997","1.14013911131295",""
"Argentina","1996","1.2412284045824",""
"Argentina","1995","1.47307453443229",""
"Argentina","1994","1.45703853325047",""
"Argentina","1993","1.34035236367656",""
"Argentina","1992","1.34046362188989",""
"Argentina","1991","1.42013727576134",""
"Argentina","1990","1.36821335532423",""
"Argentina","1989","1.77556383818821",""
"Argentina","1988","1.98087554699177",""
"Armenia","2012","3.90231133900609",""
"Armenia","2011","3.86453420610397",""
"Armenia","2010","4.27720607234946",""
"Armenia","2009","4.16978206681773",""
"Armenia","2008","3.39103929356973",""
"Armenia","2007","3.04196186345122",""
"Armenia","2006","2.94783151414857",""
"Armenia","2005","2.87130716570818",""
"Armenia","2004","2.74116858899631",""
"Armenia","2003","2.72675339630061",""
"Armenia","2002","2.70097353214749",""
"Armenia","2001","3.12957956139623",""
"Armenia","2000","3.55848318636087",""
"Armenia","1999","3.6964133057364",""
"Armenia","1998","3.52737382685527",""
"Armenia","1997","3.90384606629595",""
"Armenia","1996","3.28186689273156",""
"Armenia","1995","4.05931197996886",""
"Armenia","1993","2.12165247900191",""
"Armenia","1992","2.09548975296484",""
"Australia","2012","1.71358471424658",""
"Australia","2011","1.83668497771902",""
"Australia","2010","1.95857821042083",""
"Australia","2009","1.93822336567293",""
"Australia","2008","1.8900368495075",""
"Australia","2007","1.89596077920951",""
"Australia","2006","1.90056363621745",""
"Australia","2005","1.8822566231871",""
"Australia","2004","1.8974332129334",""
"Australia","2003","1.91101411348722",""
"Australia","2002","1.93748443601414",""
"Australia","2001","1.92645300928709",""
"Australia","2000","1.8950602458775",""
"Australia","1999","1.9378173650575",""
"Australia","1998","1.91975837582401",""
"Australia","1997","1.91999023307755",""
"Australia","1996","1.97883727735249",""
"Australia","1995","2.08329975988268",""
"Australia","1994","2.18249257208129",""
"Australia","1993","2.22796167266984",""
"Australia","1992","2.21347215857824",""
"Australia","1991","2.16987965434012",""
"Australia","1990","2.1224177127607",""
"Australia","1989","2.16436339137026",""
"Australia","1988","2.30160588619529",""
"Austria","2012","0.818556707263431",""
"Austria","2011","0.819742166392809",""
"Austria","2010","0.852137476748833",""
"Austria","2009","0.869209339417953",""
"Austria","2008","0.904704564533385",""
"Austria","2007","0.933144318753721",""
"Austria","2006","0.812633138406514",""
"Austria","2005","0.880757597021545",""
"Austria","2004","0.919440991806707",""
"Austria","2003","0.938239077166",""
"Austria","2002","0.906456031980603",""
"Austria","2001","0.933235941284903",""
"Austria","2000","1.00252505842563",""
"Austria","1999","1.0006702181995",""
"Austria","1998","1.01244692241798",""
"Austria","1997","1.04166120178829",""
"Austria","1996","1.04729691447942",""
"Austria","1995","1.07211783703213",""
"Austria","1994","1.10573747681293",""
"Austria","1993","1.12258985044667",""
"Austria","1992","1.10838166451362",""
"Austria","1991","1.15930695287425",""
"Austria","1990","1.19733665316345",""
"Austria","1989","1.23237184250604",""
"Austria","1988","1.2988091288345",""
"Azerbaijan","2012","4.63746643207704",""
"Azerbaijan","2011","4.66955954072424",""
"Azerbaijan","2010","2.79053338043094",""
"Azerbaijan","2009","3.32570256871199",""
"Azerbaijan","2008","3.29121114577001",""
"Azerbaijan","2007","2.86313710971245",""
"Azerbaijan","2006","3.41935418481476",""
"Azerbaijan","2005","2.29986025154722",""
"Azerbaijan","2004","2.62593343727653",""
"Azerbaijan","2003","2.42076540964108",""
"Azerbaijan","2002","2.24332117101365",""
"Azerbaijan","2001","2.31394386334562",""
"Azerbaijan","2000","2.26786206311863",""
"Azerbaijan","1999","2.62510993144516",""
"Azerbaijan","1998","2.41235591259715",""
"Azerbaijan","1997","2.32404979925782",""
"Azerbaijan","1996","2.25423034135488",""
"Azerbaijan","1995","2.73690130284",""
"Azerbaijan","1994","3.68316850709437",""
"Azerbaijan","1993","5.09288142498822",""
"Azerbaijan","1992","2.07464575423746",""
"Bahrain","2012","3.1359220749643",""
"Bahrain","2011","3.02181198835229",""
"Bahrain","2010","3.02021058728615",""
"Bahrain","2009","3.95109997521958",""
"Bahrain","2008","3.01138985355903",""
"Bahrain","2007","3.19622212304015",""
"Bahrain","2006","3.40529750222267",""
"Bahrain","2005","3.6159576359936",""
"Bahrain","2004","4.26085927328678",""
"Bahrain","2003","4.77489768076398",""
"Bahrain","2002","4.69836496899079",""
"Bahrain","2001","4.22648597880048",""
"Bahrain","2000","4.03750529293586",""
"Bahrain","1999","4.94075134537543",""
"Bahrain","1998","4.77398814985694",""
"Bahrain","1997","4.56582732027",""
"Bahrain","1996","4.75090461408135",""
"Bahrain","1995","4.68309552592439",""
"Bahrain","1994","4.60017182840785",""
"Bahrain","1993","4.82790372551164",""
"Bahrain","1992","5.29556650246305",""
"Bahrain","1991","5.13913704237621",""
"Bahrain","1990","5.1056338028169",""
"Bahrain","1989","5.09396285330295",""
"Bahrain","1988","5.02837451397743",""
"Bangladesh","2012","1.34625233106796",""
"Bangladesh","2011","1.44043422891457",""
"Bangladesh","2010","1.41691713800021",""
"Bangladesh","2009","1.22146366790112",""
"Bangladesh","2008","1.11858729139735",""
"Bangladesh","2007","1.20101109705046",""
"Bangladesh","2006","1.1887583200454",""
"Bangladesh","2005","1.16008060274017",""
"Bangladesh","2004","1.19018623426337",""
"Bangladesh","2003","1.20267442854667",""
"Bangladesh","2002","1.24834828569442",""
"Bangladesh","2001","1.3417662408143",""
"Bangladesh","2000","1.40780435749972",""
"Bangladesh","1999","1.42364191425376",""
"Bangladesh","1998","1.42054591484341",""
"Bangladesh","1997","1.43125721102078",""
"Bangladesh","1996","1.38741243524818",""
"Bangladesh","1995","1.41504785764088",""
"Bangladesh","1994","1.40467270577871",""
"Bangladesh","1993","1.28460290807116",""
"Bangladesh","1992","1.20425871910727",""
"Bangladesh","1991","1.09221947939824",""
"Bangladesh","1990","1.1106479349686",""
"Bangladesh","1989","1.18605700888616",""
"Bangladesh","1988","1.13810100646432",""
"Belarus","2012","1.20481242356153",""
"Belarus","2011","1.26599445345014",""
"Belarus","2010","1.39047557669473",""
"Belarus","2009","1.37294077073854",""
"Belarus","2008","1.4538780868906",""
"Belarus","2007","1.64976591437478",""
"Belarus","2006","1.70941249195756",""
"Belarus","2005","1.49845313530187",""
"Belarus","2004","1.35822274853076",""
"Belarus","2003","1.29906358027392",""
"Belarus","2002","1.40024408626422",""
"Belarus","2001","1.43828756434444",""
"Belarus","2000","1.34664652171057",""
"Belarus","1999","1.36811396270343",""
"Belarus","1998","1.49538332442512",""
"Belarus","1997","1.77193747187049",""
"Belarus","1996","1.25104775249271",""
"Belarus","1995","1.72978173449333",""
"Belarus","1994","3.37207472517591",""
"Belarus","1993","2.84171639670361",""
"Belarus","1992","1.62249864791779",""
"Belgium","2012","1.05272679385231",""
"Belgium","2011","1.07945913302045",""
"Belgium","2010","1.11317254174397",""
"Belgium","2009","1.18766309819796",""
"Belgium","2008","1.24085167809455",""
"Belgium","2007","1.12353527984158",""
"Belgium","2006","1.07706638982025",""
"Belgium","2005","1.12050356748562",""
"Belgium","2004","1.17856272336218",""
"Belgium","2003","1.24349554782243",""
"Belgium","2002","1.24488124488124",""
"Belgium","2001","1.30598953822704",""
"Belgium","2000","1.37125162843555",""
"Belgium","1999","1.41411688860794",""
"Belgium","1998","1.433553054942",""
"Belgium","1997","1.47499018027658",""
"Belgium","1996","1.5382144240672",""
"Belgium","1995","1.56352950795231",""
"Belgium","1994","1.63032652963453",""
"Belgium","1993","1.68771643837932",""
"Belgium","1992","1.78150882808433",""
"Belgium","1991","2.22407144746446",""
"Belgium","1990","2.28952144677842",""
"Belgium","1989","2.39242325008156",""
"Belgium","1988","2.55517260823273",""
"Belize","2012","0.946532020640096",""
"Belize","2011","1.05150358314915",""
"Belize","2010","1.09807568495601",""
"Belize","2009","1.28875607022787",""
"Belize","2008","1.36536214953271",""
"Belize","2007","1.06543721669056",""
"Belize","2006","1.01030843155776",""
"Belize","2005","0.96033028181655",""
"Belize","2004","0.898047927399915",""
"Belize","2003","0.863331145554602",""
"Belize","2002","0.841663836806229",""
"Belize","2001","0.854513849448296",""
"Belize","2000","0.853621881574992",""
"Belize","1999","0.825816814921045",""
"Belize","1997","1.43687358565188",""
"Belize","1996","1.23972483820639",""
"Belize","1995","1.29832056442542",""
"Belize","1994","1.36028602627876",""
"Belize","1993","1.09868583125503",""
"Belize","1992","1.02288230467025",""
"Belize","1991","1.06808604081891",""
"Belize","1990","1.14998188693793",""
"Belize","1989","1.19785207444408",""
"Belize","1988","0.984439504604636",""
"Benin","2012","1.03416100772381",""
"Benin","2008","0.976252209561604",""
"Benin","2006","0.995836309373809",""
"Benin","2005","1.02666072495434",""
"Benin","2004","1.03270397390256",""
"Benin","2003","0.972206023186994",""
"Benin","2002","0.924930363345818",""
"Benin","2001","0.524000104531116",""
"Benin","2000","0.613226969475349",""
"Benin","1999","0.717824070303371",""
"Benin","1990","1.66782369558891",""
"Benin","1989","1.8988224505206",""
"Benin","1988","2.27937981020953",""
"Bolivia","2012","1.46563981165062",""
"Bolivia","2011","1.46751633334242",""
"Bolivia","2010","1.66817082487015",""
"Bolivia","2009","1.99709603670089",""
"Bolivia","2008","1.96447597740013",""
"Bolivia","2007","1.68916980624116",""
"Bolivia","2006","1.57060995307844",""
"Bolivia","2005","1.77607401617087",""
"Bolivia","2004","1.92887401311631",""
"Bolivia","2003","2.15008779094375",""
"Bolivia","2002","2.03414365701169",""
"Bolivia","2001","2.26992485098668",""
"Bolivia","2000","2.06822874810229",""
"Bolivia","1999","2.13887419422327",""
"Bolivia","1998","2.6974311357364",""
"Bolivia","1997","2.28124833558921",""
"Bolivia","1996","1.99271927511267",""
"Bolivia","1995","2.10329909908999",""
"Bolivia","1994","2.2578965045374",""
"Bolivia","1993","1.92158549283087",""
"Bolivia","1992","2.51203710946567",""
"Bolivia","1991","2.69703401524389",""
"Bolivia","1990","2.82326076776116",""
"Bolivia","1989","2.1663938585964",""
"Bosnia and Herzegovina","2012","1.36820768691042",""
"Bosnia and Herzegovina","2011","1.148753894081",""
"Bosnia and Herzegovina","2010","1.31191216243491",""
"Bosnia and Herzegovina","2009","1.41782046484554",""
"Bosnia and Herzegovina","2008","1.25610888969668",""
"Bosnia and Herzegovina","2007","1.27770653965928",""
"Bosnia and Herzegovina","2006","1.4379558268246",""
"Bosnia and Herzegovina","2005","1.58555000580788",""
"Bosnia and Herzegovina","2004","1.99544228313058",""
"Bosnia and Herzegovina","2003","2.41981434991274",""
"Bosnia and Herzegovina","2002","3.62485355881032",""
"Botswana","2012","2.29932659777835",""
"Botswana","2011","2.42509536992071",""
"Botswana","2010","2.55916165343955",""
"Botswana","2009","3.2662289475815",""
"Botswana","2008","2.99075437123286",""
"Botswana","2007","2.80107806273752",""
"Botswana","2006","2.6951167703136",""
"Botswana","2005","2.85899657257759",""
"Botswana","2004","3.50647649389841",""
"Botswana","2003","4.00736056669236",""
"Botswana","2002","4.11145978614598",""
"Botswana","2001","3.83273196760422",""
"Botswana","2000","3.1898790758155",""
"Botswana","1999","3.09131199381738",""
"Botswana","1998","3.77889745109662",""
"Botswana","1997","3.19732864828294",""
"Botswana","1996","2.89793917430453",""
"Botswana","1995","3.50764819813637",""
"Botswana","1994","4.00538715827401",""
"Botswana","1993","4.4641506356702",""
"Botswana","1992","4.29817441900342",""
"Botswana","1991","4.36596305241038",""
"Botswana","1990","4.12628414641928",""
"Botswana","1989","3.33142889330576",""
"Botswana","1988","3.53612639066959",""
"Brazil","2012","1.471765030027",""
"Brazil","2011","1.49137765612724",""
"Brazil","2010","1.58667510148975",""
"Brazil","2009","1.58309985417071",""
"Brazil","2008","1.47882530331073",""
"Brazil","2007","1.498754576167",""
"Brazil","2006","1.5060669352766",""
"Brazil","2005","1.5405823289432",""
"Brazil","2004","1.47350063018317",""
"Brazil","2003","1.51939941692334",""
"Brazil","2002","1.90983758531136",""
"Brazil","2001","1.97229782449759",""
"Brazil","2000","1.75950120476616",""
"Brazil","1999","1.68056495827696",""
"Brazil","1998","1.70146107940969",""
"Brazil","1997","1.59943012116314",""
"Brazil","1996","1.67601737038858",""
"Brazil","1995","1.86213669557183",""
"Brazil","1994","2.01599624291609",""
"Brazil","1993","1.92947291546222",""
"Brazil","1992","1.52895950484981",""
"Brazil","1991","1.99051191741157",""
"Brazil","1990","6.32100603088484",""
"Brazil","1989","2.58461494794198",""
"Brazil","1988","2.12849101627132",""
"Brunei Darussalam","2012","2.42623353205791",""
"Brunei Darussalam","2011","2.54140102627896",""
"Brunei Darussalam","2010","3.15995383977374",""
"Brunei Darussalam","2009","3.26043788513522",""
"Brunei Darussalam","2008","2.51496477578574",""
"Brunei Darussalam","2007","2.63836518874875",""
"Brunei Darussalam","2006","2.55681506435932",""
"Brunei Darussalam","2005","2.60967129924863",""
"Brunei Darussalam","2004","2.53272674322409",""
"Brunei Darussalam","2003","3.7114242734467",""
"Brunei Darussalam","2002","3.87075867842088",""
"Brunei Darussalam","2001","3.88621404429925",""
"Brunei Darussalam","2000","4.06921008393329",""
"Brunei Darussalam","1999","5.61754520969604",""
"Brunei Darussalam","1998","7.25663716814159",""
"Brunei Darussalam","1997","7.1012051315278",""
"Brunei Darussalam","1996","6.4189657562734",""
"Brunei Darussalam","1995","6.03576751117735",""
"Brunei Darussalam","1994","6.40717603716162",""
"Brunei Darussalam","1993","5.69791980705457",""
"Brunei Darussalam","1992","6.01614086573734",""
"Brunei Darussalam","1991","6.63017982799062",""
"Brunei Darussalam","1990","6.56636890769472",""
"Brunei Darussalam","1989","6.23437304161469",""
"Brunei Darussalam","1988","6.62997709980055",""
"Bulgaria","2012","1.45909900584831",""
"Bulgaria","2011","1.54830990487707",""
"Bulgaria","2010","1.87204188132097",""
"Bulgaria","2009","1.98326708050352",""
"Bulgaria","2008","2.0030286717103",""
"Bulgaria","2007","2.45079200126624",""
"Bulgaria","2006","2.2613560628134",""
"Bulgaria","2005","2.42064468253729",""
"Bulgaria","2004","2.57384984129893",""
"Bulgaria","2003","2.75328628173714",""
"Bulgaria","2002","2.85337333961618",""
"Bulgaria","2001","2.92749515329579",""
"Bulgaria","2000","2.72276089414592",""
"Bulgaria","1999","2.69854115466545",""
"Bulgaria","1998","2.45306053444447",""
"Bulgaria","1997","2.43071170529034",""
"Bulgaria","1996","2.40285205892805",""
"Bulgaria","1995","2.38078422348843",""
"Bulgaria","1994","2.4923896499239",""
"Bulgaria","1993","2.60956841753095",""
"Bulgaria","1992","2.98804780876494",""
"Bulgaria","1991","3.0213706705969",""
"Bulgaria","1990","3.7452690131946",""
"Bulgaria","1989","4.29518518319207",""
"Burkina Faso","2012","1.35683079687421",""
"Burkina Faso","2011","1.34023573621797",""
"Burkina Faso","2010","1.34814716780037",""
"Burkina Faso","2009","1.3178466647302",""
"Burkina Faso","2008","1.47316801319538",""
"Burkina Faso","2007","1.40883959130804",""
"Burkina Faso","2006","1.21333586377498",""
"Burkina Faso","2005","1.16779834837519",""
"Burkina Faso","2004","1.1849539910482",""
"Burkina Faso","2003","1.0461272101488",""
"Burkina Faso","2002","1.10398968786086",""
"Burkina Faso","2001","1.07952569519854",""
"Burkina Faso","2000","1.15657250304052",""
"Burkina Faso","1999","1.14216323959078",""
"Burkina Faso","1998","1.16029111759835",""
"Burkina Faso","1997","1.08495590594769",""
"Burkina Faso","1996","1.18655677209692",""
"Burkina Faso","1995","1.27974927472066",""
"Burkina Faso","1994","1.32094839736645",""
"Burkina Faso","1993","1.55631029127525",""
"Burkina Faso","1992","1.74453485288811",""
"Burkina Faso","1991","1.83171301872718",""
"Burkina Faso","1990","2.25018505067083",""
"Burkina Faso","1989","2.10931477331055",""
"Burkina Faso","1988","1.79675378503471",""
"Burundi","2012","2.3861402608049",""
"Burundi","2008","2.7212308336386",""
"Burundi","2007","3.41490014313953",""
"Burundi","2006","3.51225471482019",""
"Burundi","2005","4.43561734524992",""
"Burundi","2004","4.90266162355144",""
"Burundi","2003","5.53277978203228",""
"Burundi","2002","5.44104157931752",""
"Burundi","2001","6.07104080653122",""
"Burundi","2000","4.86185018365691",""
"Burundi","1999","6.25823451910408",""
"Burundi","1998","6.57171414292854",""
"Burundi","1997","6.35939323220537",""
"Burundi","1996","5.85328772329913",""
"Burundi","1995","4.20226931256704",""
"Burundi","1994","4.53532195101673",""
"Burundi","1993","3.86134272452622",""
"Burundi","1992","3.59042559710276",""
"Burundi","1991","3.68101633804944",""
"Burundi","1990","3.50736029874457",""
"Burundi","1989","3.39475962272905",""
"Burundi","1988","3.15864283646127",""
"Cabo Verde","2011","0.519185527703415",""
"Cabo Verde","2010","0.497948605242404",""
"Cabo Verde","2009","0.490877611477521",""
"Cabo Verde","2008","0.479590098424777",""
"Cabo Verde","2007","0.524703169352215",""
"Cabo Verde","2006","0.564741208222978",""
"Cabo Verde","2005","0.635017995654195",""
"Cabo Verde","2004","0.63097843761799",""
"Cabo Verde","2003","0.648753558764804",""
"Cabo Verde","2002","0.665857190298048",""
"Cabo Verde","2001","0.743710458203512",""
"Cabo Verde","2000","1.12458824390011",""
"Cabo Verde","1999","0.741133152193284",""
"Cabo Verde","1998","0.73139213343339",""
"Cabo Verde","1997","0.717870748009731",""
"Cabo Verde","1996","0.725758086293733",""
"Cabo Verde","1995","1.08295027550527",""
"Cabo Verde","1994","0.705581917347946",""
"Cabo Verde","1993","0.634038369876354",""
"Cabo Verde","1992","0.826079112054532",""
"Cabo Verde","1988","1.92145885374675",""
"Cambodia","2012","1.54724391517305",""
"Cambodia","2011","1.49802109337022",""
"Cambodia","2010","1.58561518928781",""
"Cambodia","2009","2.2690993030858",""
"Cambodia","2008","1.19375571695625",""
"Cambodia","2007","1.09296850809633",""
"Cambodia","2006","1.30321985876717",""
"Cambodia","2005","1.14932302034888",""
"Cambodia","2004","1.26875496765141",""
"Cambodia","2003","1.45669061016871",""
"Cambodia","2002","1.57921037191254",""
"Cambodia","2001","1.77373224711901",""
"Cambodia","2000","2.19419113701547",""
"Cambodia","1999","2.51194798697772",""
"Cambodia","1998","2.66204376881779",""
"Cambodia","1997","3.00630964253581",""
"Cambodia","1996","3.23845437631514",""
"Cambodia","1995","3.58086904305685",""
"Cambodia","1994","3.84234279291627",""
"Cambodia","1993","1.76128859526266",""
