"","gene.name","gene.annotation","operon.name","operon.comments","probeset","locbegin","locend"
"1","thrA","aspartokinase I/homoserine dehydrogenase I","thr","threonine biosynthesis","thrA_b0002_st",337,2799
"2","thrB","homoserine kinase","thr","threonine biosynthesis","thrB_b0003_st",2801,3733
"3","thrC","threonine synthase","thr","threonine biosynthesis","thrC_b0004_st",3734,5020
"4","dnaK","DNA biosynthesis; heat shock protein","dnaK","DNA biosynthesis","dnaK_b0014_st",12163,14079
"5","dnaJ","DNA biosynthesis; heat shock protein","dnaK","DNA biosynthesis","dnaJ_b0015_st",14168,15298
"6","yaaC","35K hypothetical","ileS-lsp","tRNA synthetase & peptidase","ribF_b0025_st",21407,22348
"7","ileS","isoleucine tRNA synthetase (EC 6.1.1.5)","ileS-lsp","tRNA synthetase & peptidase","ileS_b0026_st",22391,25206
"8","lspA","prolipoprotein signal peptidase (SPaseII) (EC 3.4 99 35)","ileS-lsp","tRNA synthetase & peptidase","lspA_b0027_st",25208,25701
"9","carA","carbamoyl-phosphate synthetase subunit A","carAB","carbamoyl-phosphate synthetase","carA_b0032_st",29651,30799
"10","carB","carbamoyl-phosphate synthetase subunit B","carAB","carbamoyl-phosphate synthetase","carB_b0033_st",30817,34038
"11","caiT","probable carnitine transporter","cai","probable carnitine operon","caiT_b0040_st",40417,41931
"12","caiA","probable carnitine operon oxidoreductase CaiA","cai","probable carnitine operon","caiA_b0039_st",39244,40386
"13","caiB","L-carnitine dehydratase","cai","probable carnitine operon","caiB_b0038_st",37898,39115
"14","caiC","probable crotonobetaine/carnitine-CoA ligase","cai","probable carnitine operon","caiC_b0037_st",36271,37839
"15","caiD","carnitine racemase","cai","probable carnitine operon","caiD_b0036_st",35393,36270
"16","caiE","carnitine operon protein CaiE","cai","probable carnitine operon","caiE_b0035_st",34781,35376
"17","fixA","FixA protein","fix","may play a role in a redox process","fixA_b0041_st",42367,43173
"18","fixB","FixB protein","fix","may play a role in a redox process","fixB_b0042_st",43188,44129
"19","fixC","FixC protein (similar to the ORF at 1784259)","fix","may play a role in a redox process","fixC_b0043_st",44180,45462
"20","surA","peptidyl prolyl isomerase; survival protein SurA precursor","surA-pdxA-ksgA-apaGH","16S ribosomal RNA modification & chaperone","surA_b0053_st",53417,54702
"21","pdxA","pyridoxine and pyridoxal phosphate biosynthesis","surA-pdxA-ksgA-apaGH","16S ribosomal RNA modification & chaperone","pdxA_b0052_st",52431,53415
"22","ksgA","6-m-2-A methyltransferase; put. 16S rRNA methyltransferase","surA-pdxA-ksgA-apaGH","16S ribosomal RNA modification & chaperone","ksgA_b0051_st",51609,52426
"23","apaG","ApaG protein","surA-pdxA-ksgA-apaGH","16S ribosomal RNA modification & chaperone","apaG_b0050_st",51229,51606
"24","apaH","diadenosine tetraphosphatase","surA-pdxA-ksgA-apaGH","16S ribosomal RNA modification & chaperone","apaH_b0049_st",50380,51222
"25","araB","L-ribulokinase","araBAD","arabinose catabolic pathway","araB_b0063_st",68348,70048
